Date, Open, High, Low, Close
03/05/18, 6777.63, 6901.63, 6753.83, 6881.28
03/02/18, 6661.91, 6820.37, 6645.03, 6811.04
03/01/18, 6862.94, 6892.38, 6687.43, 6750.54
02/28/18, 6945.20, 6964.16, 6854.42, 6854.42
02/27/18, 6984.83, 7003.14, 6900.35, 6900.35
02/26/18, 6933.82, 6989.36, 6927.46, 6989.10
02/23/18, 6816.43, 6897.53, 6789.02, 6896.60
02/22/18, 6793.08, 6826.00, 6744.06, 6761.85
02/21/18, 6808.60, 6879.47, 6759.22, 6759.26
02/20/18, 6742.15, 6838.00, 6740.48, 6779.69
02/16/18, 6778.28, 6840.60, 6758.51, 6770.66
02/15/18, 6734.34, 6795.92, 6665.92, 6794.92
02/14/18, 6523.26, 6684.15, 6520.39, 6675.03
02/13/18, 6482.77, 6567.62, 6478.41, 6553.86
02/12/18, 6477.04, 6565.28, 6424.30, 6523.85
02/09/18, 6395.16, 6453.43, 6164.43, 6412.68
02/08/18, 6595.81, 6606.05, 6304.18, 6306.10
02/07/18, 6632.98, 6716.25, 6581.38, 6582.02
02/06/18, 6378.60, 6673.41, 6370.48, 6665.98
02/05/18, 6687.47, 6807.97, 6495.39, 6495.92
02/02/18, 6866.38, 6889.07, 6756.54, 6760.29
02/01/18, 6910.57, 6970.77, 6879.02, 6901.50
01/31/18, 6972.81, 6983.61, 6915.48, 6949.99
01/30/18, 6910.39, 6958.79, 6894.63, 6930.73
01/29/18, 7000.68, 7020.65, 6974.70, 6988.32
01/26/18, 6956.66, 7022.97, 6941.48, 7022.97
01/25/18, 6965.01, 6967.60, 6894.84, 6916.30
01/24/18, 6975.38, 6992.91, 6880.68, 6919.35
01/23/18, 6928.27, 6969.40, 6926.37, 6963.46
01/22/18, 6829.55, 6906.28, 6822.85, 6906.28
01/19/18, 6829.04, 6843.24, 6801.59, 6834.33
01/18/18, 6804.59, 6826.79, 6784.72, 6811.38
01/17/18, 6767.85, 6820.04, 6738.45, 6810.28
01/16/18, 6807.85, 6835.79, 6719.11, 6737.14
01/12/18, 6699.32, 6763.98, 6695.52, 6758.54
01/11/18, 6675.69, 6708.49, 6664.74, 6708.49
01/10/18, 6640.66, 6663.51, 6619.35, 6662.66
01/09/18, 6692.87, 6696.12, 6658.27, 6677.94
01/08/18, 6651.68, 6680.32, 6649.20, 6676.63
01/05/18, 6613.13, 6654.98, 6605.03, 6653.29
01/04/18, 6595.75, 6603.17, 6576.92, 6584.58
01/03/18, 6520.03, 6579.25, 6519.26, 6575.80
01/02/18, 6431.59, 6513.02, 6417.75, 6511.34
12/29/17, 6439.90, 6442.53, 6396.42, 6396.42
12/28/17, 6449.52, 6452.07, 6432.68, 6441.42
12/27/17, 6437.06, 6448.94, 6425.92, 6435.15
12/26/17, 6427.32, 6438.24, 6407.99, 6433.16
12/22/17, 6462.55, 6467.83, 6449.00, 6465.17
12/21/17, 6481.08, 6501.52, 6467.78, 6472.69
12/20/17, 6504.55, 6504.55, 6447.93, 6472.48
12/19/17, 6505.35, 6510.87, 6462.78, 6480.67
12/18/17, 6504.89, 6522.70, 6495.18, 6513.27
12/15/17, 6405.15, 6470.92, 6405.03, 6466.32
12/14/17, 6407.26, 6423.68, 6386.25, 6389.91
12/13/17, 6405.41, 6416.83, 6388.41, 6394.67
12/12/17, 6389.47, 6403.50, 6371.69, 6383.65
12/11/17, 6351.24, 6394.43, 6347.91, 6393.89
12/08/17, 6364.60, 6377.55, 6335.23, 6344.57
12/07/17, 6300.64, 6333.28, 6290.65, 6316.28
12/06/17, 6243.73, 6304.10, 6234.22, 6293.05
12/05/17, 6242.47, 6337.06, 6235.77, 6265.11
12/04/17, 6380.68, 6380.77, 6256.81, 6263.70
12/01/17, 6325.61, 6365.30, 6244.84, 6337.87
11/30/17, 6337.34, 6374.18, 6321.43, 6365.56
11/29/17, 6412.69, 6412.69, 6279.36, 6311.37
11/28/17, 6419.48, 6426.04, 6385.32, 6422.56
11/27/17, 6409.52, 6420.21, 6392.01, 6405.97
11/24/17, 6393.33, 6410.77, 6389.40, 6409.29
11/22/17, 6384.13, 6391.16, 6371.75, 6386.12
11/21/17, 6336.91, 6380.07, 6336.26, 6378.63
11/20/17, 6319.57, 6324.59, 6301.88, 6308.61
11/17/17, 6343.64, 6345.56, 6308.48, 6314.51
11/16/17, 6293.46, 6352.47, 6293.46, 6339.14
11/15/17, 6261.27, 6276.81, 6227.99, 6258.36
11/14/17, 6293.32, 6300.47, 6263.77, 6293.64
11/13/17, 6286.01, 6325.18, 6285.97, 6316.18
11/10/17, 6297.15, 6313.18, 6284.22, 6309.07
11/09/17, 6295.29, 6315.16, 6248.29, 6312.21
11/08/17, 6319.03, 6346.98, 6308.63, 6345.81
11/07/17, 6314.69, 6328.58, 6299.53, 6320.78
11/06/17, 6292.15, 6318.58, 6291.84, 6313.61
11/03/17, 6266.19, 6297.63, 6237.65, 6295.58
11/02/17, 6238.30, 6243.74, 6194.58, 6236.39
11/01/17, 6274.26, 6276.66, 6224.58, 6248.65
10/31/17, 6241.88, 6258.42, 6229.15, 6248.56
10/30/17, 6209.80, 6250.85, 6202.53, 6227.59
10/27/17, 6138.23, 6223.52, 6129.79, 6213.47
10/26/17, 6056.05, 6066.60, 6035.95, 6037.87
10/25/17, 6069.35, 6087.58, 6011.24, 6055.04
10/24/17, 6078.02, 6090.89, 6057.69, 6080.22
10/23/17, 6122.24, 6122.23, 6061.08, 6067.83
10/20/17, 6114.46, 6122.56, 6102.16, 6108.82
10/19/17, 6074.28, 6092.87, 6051.47, 6092.62
